Name
Pandas
Deep Learning
Regression Models
Classification
Matplotlib
Scikit-Learn
Haskell
Structured Programming
Machine Learning
JavaScript
HTML5
css3
Project Management
WordPress
MySQL
Leadership
FileMaker
JMeter
Postman API
Load Testing
Performance Testing
Software Project Management
Python (Programming Language)
